"","exp_stage","image11","image12","click","attn","attn_index","attn_fail","rt","participant_id"
"53","main_trial_52","1074.jpg","0849.jpg","01",0,1,0,2091,"6638e6601cddfd62522b3913"
"54","main_trial_53","1036.jpg","0873.jpg","01",0,1,0,3220,"6638e6601cddfd62522b3913"
"55","main_trial_54","0654.jpg","0666.jpg","01",0,0,0,2164,"6638e6601cddfd62522b3913"
"56","main_trial_55","attn47.jpg","0406.jpg","10",1,0,0,2508,"6638e6601cddfd62522b3913"
"57","main_trial_56","0960.jpg","1078.jpg","10",0,0,0,15153,"6638e6601cddfd62522b3913"
"58","main_trial_57","0033.jpg","1030.jpg","10",0,0,0,2142,"6638e6601cddfd62522b3913"
"59","main_trial_58","0288.jpg","0869.jpg","01",0,1,0,1603,"6638e6601cddfd62522b3913"
"60","main_trial_59","0069.jpg","0659.jpg","01",0,1,0,1739,"6638e6601cddfd62522b3913"
"61","main_trial_60","0692.jpg","0991.jpg","01",0,1,0,1705,"6638e6601cddfd62522b3913"
"62","main_trial_61","0335.jpg","attn07.jpg","10",1,1,0,2356,"6638e6601cddfd62522b3913"
"63","main_trial_62","0440.jpg","0432.jpg","10",0,0,0,2772,"6638e6601cddfd62522b3913"
"64","main_trial_63","0198.jpg","0690.jpg","10",0,0,0,1766,"6638e6601cddfd62522b3913"
"65","main_trial_64","0422.jpg","0982.jpg","01",0,1,0,1634,"6638e6601cddfd62522b3913"
"66","main_trial_65","0144.jpg","0885.jpg","01",0,0,0,1531,"6638e6601cddfd62522b3913"
"67","main_trial_66","0509.jpg","0392.jpg","10",0,0,0,2438,"6638e6601cddfd62522b3913"
"68","main_trial_67","0504.jpg","0746.jpg","10",0,1,0,1733,"6638e6601cddfd62522b3913"
"69","main_trial_0","attn18.jpg","0034.jpg","01",1,1,0,2755,"6686247e6177b8b37bdd0463"
"70","main_trial_1","0339.jpg","0446.jpg","10",0,0,0,3251,"6686247e6177b8b37bdd0463"
"71","main_trial_2","1056.jpg","1044.jpg","01",0,0,0,1908,"6686247e6177b8b37bdd0463"
"72","main_trial_3","0317.jpg","0282.jpg","10",0,0,0,1822,"6686247e6177b8b37bdd0463"
"73","main_trial_4","0216.jpg","0238.jpg","10",0,1,0,1590,"6686247e6177b8b37bdd0463"
"74","main_trial_5","attn02.jpg","0610.jpg","10",1,0,0,1881,"6686247e6177b8b37bdd0463"
"75","main_trial_6","attn41.jpg","0234.jpg","10",1,0,0,2264,"6686247e6177b8b37bdd0463"
"76","main_trial_7","0482.jpg","attn49.jpg","01",1,0,0,1598,"6686247e6177b8b37bdd0463"
"77","main_trial_8","0777.jpg","0373.jpg","10",0,0,0,2024,"6686247e6177b8b37bdd0463"
"78","main_trial_9","1036.jpg","0287.jpg","01",0,0,0,2116,"6686247e6177b8b37bdd0463"
"79","main_trial_10","attn08.jpg","0628.jpg","10",1,0,0,2478,"6686247e6177b8b37bdd0463"
"80","main_trial_11","0268.jpg","0907.jpg","10",0,0,0,1740,"6686247e6177b8b37bdd0463"
"81","main_trial_12","1017.jpg","0153.jpg","10",0,1,0,1456,"6686247e6177b8b37bdd0463"
"82","main_trial_13","0720.jpg","0255.jpg","01",0,0,0,2202,"6686247e6177b8b37bdd0463"
"83","main_trial_14","0390.jpg","0936.jpg","01",0,0,0,1366,"6686247e6177b8b37bdd0463"
"84","main_trial_15","0660.jpg","0119.jpg","10",0,1,0,4149,"6686247e6177b8b37bdd0463"
"85","main_trial_16","0479.jpg","0138.jpg","01",0,1,0,1190,"6686247e6177b8b37bdd0463"
"86","main_trial_17","0454.jpg","0368.jpg","01",0,1,0,2053,"6686247e6177b8b37bdd0463"
"87","main_trial_18","0469.jpg","0691.jpg","10",0,1,0,1381,"6686247e6177b8b37bdd0463"
"88","main_trial_19","1012.jpg","0553.jpg","01",0,0,0,1123,"6686247e6177b8b37bdd0463"
"89","main_trial_20","1040.jpg","0049.jpg","10",0,1,0,1713,"6686247e6177b8b37bdd0463"
"90","main_trial_21","attn28.jpg","0756.jpg","01",1,1,0,2327,"6686247e6177b8b37bdd0463"
"91","main_trial_22","0133.jpg","0602.jpg","01",0,0,0,1765,"6686247e6177b8b37bdd0463"
