"","exp_stage","image11","image12","click","attn","attn_index","attn_fail","rt","participant_id"
"51","main_trial_50","attn18.jpg","0502.jpg","10",1,0,0,3986,"669fc3e92172f8c37b23a3d1"
"52","main_trial_51","0832.jpg","1093.jpg","01",0,0,0,16809,"669fc3e92172f8c37b23a3d1"
"53","main_trial_52","attn20.jpg","0534.jpg","10",1,0,0,2791,"669fc3e92172f8c37b23a3d1"
"54","main_trial_53","0447.jpg","0058.jpg","10",0,0,0,7352,"669fc3e92172f8c37b23a3d1"
"55","main_trial_54","1060.jpg","0381.jpg","10",0,1,0,4359,"669fc3e92172f8c37b23a3d1"
"56","main_trial_55","attn46.jpg","0303.jpg","10",1,0,0,4966,"669fc3e92172f8c37b23a3d1"
"57","main_trial_56","0434.jpg","1018.jpg","10",0,1,0,9078,"669fc3e92172f8c37b23a3d1"
"58","main_trial_57","0416.jpg","0034.jpg","10",0,1,0,4133,"669fc3e92172f8c37b23a3d1"
"59","main_trial_58","0158.jpg","0499.jpg","01",0,1,0,4473,"669fc3e92172f8c37b23a3d1"
"60","main_trial_59","0665.jpg","0547.jpg","01",0,1,0,8288,"669fc3e92172f8c37b23a3d1"
"61","main_trial_60","0767.jpg","0775.jpg","10",0,0,0,9280,"669fc3e92172f8c37b23a3d1"
"62","main_trial_61","attn31.jpg","0046.jpg","01",1,1,0,2987,"669fc3e92172f8c37b23a3d1"
"63","main_trial_62","1023.jpg","attn30.jpg","10",1,1,0,3474,"669fc3e92172f8c37b23a3d1"
"64","main_trial_63","0923.jpg","0962.jpg","01",0,1,0,6318,"669fc3e92172f8c37b23a3d1"
"65","main_trial_64","0727.jpg","0528.jpg","10",0,0,0,2755,"669fc3e92172f8c37b23a3d1"
"66","main_trial_65","0504.jpg","0117.jpg","10",0,1,0,8595,"669fc3e92172f8c37b23a3d1"
"67","main_trial_66","0713.jpg","0914.jpg","01",0,0,0,5373,"669fc3e92172f8c37b23a3d1"
"68","main_trial_67","0075.jpg","0376.jpg","10",0,0,0,8204,"669fc3e92172f8c37b23a3d1"
"69","main_trial_0","0937.jpg","1030.jpg","01",0,0,0,7721,"666b956a6565b9d8f63b3bc0"
"70","main_trial_1","0014.jpg","attn21.jpg","01",1,1,1,6950,"666b956a6565b9d8f63b3bc0"
"71","main_trial_2","0460.jpg","0873.jpg","01",0,0,0,9855,"666b956a6565b9d8f63b3bc0"
"72","main_trial_3","attn31.jpg","0297.jpg","10",1,0,0,2712,"666b956a6565b9d8f63b3bc0"
"73","main_trial_4","1059.jpg","attn40.jpg","01",1,0,0,2516,"666b956a6565b9d8f63b3bc0"
"74","main_trial_5","0623.jpg","0152.jpg","01",0,1,0,6481,"666b956a6565b9d8f63b3bc0"
"75","main_trial_6","0281.jpg","0916.jpg","01",0,1,0,4958,"666b956a6565b9d8f63b3bc0"
"76","main_trial_7","0141.jpg","0388.jpg","01",0,0,0,5794,"666b956a6565b9d8f63b3bc0"
"77","main_trial_8","0704.jpg","0555.jpg","01",0,0,0,2693,"666b956a6565b9d8f63b3bc0"
"78","main_trial_9","0887.jpg","0925.jpg","01",0,0,0,2358,"666b956a6565b9d8f63b3bc0"
"79","main_trial_10","attn14.jpg","0376.jpg","10",1,0,0,1988,"666b956a6565b9d8f63b3bc0"
"80","main_trial_11","1097.jpg","0309.jpg","01",0,1,0,4028,"666b956a6565b9d8f63b3bc0"
"81","main_trial_12","0107.jpg","0272.jpg","01",0,1,0,3833,"666b956a6565b9d8f63b3bc0"
"82","main_trial_13","0266.jpg","0170.jpg","01",0,0,0,9903,"666b956a6565b9d8f63b3bc0"
"83","main_trial_14","0288.jpg","0004.jpg","10",0,1,0,3266,"666b956a6565b9d8f63b3bc0"
"84","main_trial_15","0099.jpg","0016.jpg","01",0,1,0,3228,"666b956a6565b9d8f63b3bc0"
"85","main_trial_16","0589.jpg","0752.jpg","01",0,1,0,4493,"666b956a6565b9d8f63b3bc0"
"86","main_trial_17","0948.jpg","0715.jpg","10",0,1,0,13856,"666b956a6565b9d8f63b3bc0"
"87","main_trial_18","0663.jpg","0439.jpg","10",0,1,0,6739,"666b956a6565b9d8f63b3bc0"
"88","main_trial_19","attn18.jpg","0054.jpg","01",1,1,0,3735,"666b956a6565b9d8f63b3bc0"
"89","main_trial_20","attn04.jpg","0703.jpg","01",1,1,0,4769,"666b956a6565b9d8f63b3bc0"
"90","main_trial_21","1084.jpg","0945.jpg","01",0,0,0,3978,"666b956a6565b9d8f63b3bc0"
"91","main_trial_22","0181.jpg","0770.jpg","01",0,0,0,2649,"666b956a6565b9d8f63b3bc0"
"92","main_trial_23","0069.jpg","0552.jpg","01",0,1,0,4197,"666b956a6565b9d8f63b3bc0"
"93","main_trial_24","attn24.jpg","0744.jpg","10",1,0,0,3100,"666b956a6565b9d8f63b3bc0"
