"","participant_id","exp_stage","image","position","response"
"76","6761934aa62aae0c93863233","main_trial_6","0619.jpg",5,"0"
"77","6761934aa62aae0c93863233","main_trial_6","0602.jpg",6,"1"
"78","6761934aa62aae0c93863233","main_trial_6","0473.jpg",7,"0"
"79","6761934aa62aae0c93863233","main_trial_6","0172.jpg",8,"0"
"80","6761934aa62aae0c93863233","main_trial_6","0733.jpg",10,"0"
"81","6761934aa62aae0c93863233","main_trial_6","1052.jpg",11,"0"
"82","6761934aa62aae0c93863233","main_trial_6","0802.jpg",12,"0"
"83","6761934aa62aae0c93863233","main_trial_7","0670.jpg",1,"1"
"84","6761934aa62aae0c93863233","main_trial_7","0028.jpg",2,"0"
"85","6761934aa62aae0c93863233","main_trial_7","0924.jpg",3,"0"
"86","6761934aa62aae0c93863233","main_trial_7","0407.jpg",4,"1"
"87","6761934aa62aae0c93863233","main_trial_7","0217.jpg",5,"0"
"88","6761934aa62aae0c93863233","main_trial_7","0014.jpg",6,"0"
"89","6761934aa62aae0c93863233","main_trial_7","0674.jpg",7,"0"
"90","6761934aa62aae0c93863233","main_trial_7","1051.jpg",8,"0"
"91","6761934aa62aae0c93863233","main_trial_7","0760.jpg",9,"0"
"92","6761934aa62aae0c93863233","main_trial_7","0210.jpg",10,"1"
"93","6761934aa62aae0c93863233","main_trial_7","1041.jpg",11,"1"
"94","6761934aa62aae0c93863233","main_trial_7","0043.jpg",12,"0"
"95","6761934aa62aae0c93863233","main_trial_8","1060.jpg",1,"0"
"96","6761934aa62aae0c93863233","main_trial_8","0104.jpg",2,"0"
"97","6761934aa62aae0c93863233","main_trial_8","0455.jpg",3,"1"
"98","6761934aa62aae0c93863233","main_trial_8","0481.jpg",4,"0"
"99","6761934aa62aae0c93863233","main_trial_8","0659.jpg",5,"0"
"100","6761934aa62aae0c93863233","main_trial_8","0355.jpg",6,"1"
"101","6761934aa62aae0c93863233","main_trial_8","0310.jpg",7,"1"
"102","6761934aa62aae0c93863233","main_trial_8","0089.jpg",8,"0"
"103","6761934aa62aae0c93863233","main_trial_8","0694.jpg",9,"0"
"104","6761934aa62aae0c93863233","main_trial_8","0456.jpg",10,"1"
"105","6761934aa62aae0c93863233","main_trial_8","0708.jpg",11,"0"
"106","6761934aa62aae0c93863233","main_trial_8","0894.jpg",12,"0"
"107","672bd5df119bfbb6db80947a","main_trial_0","0157.jpg",1,"0"
"108","672bd5df119bfbb6db80947a","main_trial_0","0295.jpg",2,"1"
"109","672bd5df119bfbb6db80947a","main_trial_0","0842.jpg",3,"0"
"110","672bd5df119bfbb6db80947a","main_trial_0","0251.jpg",4,"1"
"111","672bd5df119bfbb6db80947a","main_trial_0","1074.jpg",5,"0"
"112","672bd5df119bfbb6db80947a","main_trial_0","0567.jpg",6,"0"
"113","672bd5df119bfbb6db80947a","main_trial_0","0109.jpg",7,"0"
"114","672bd5df119bfbb6db80947a","main_trial_0","0037.jpg",8,"0"
"115","672bd5df119bfbb6db80947a","main_trial_0","1021.jpg",9,"0"
"116","672bd5df119bfbb6db80947a","main_trial_0","0703.jpg",10,"0"
"117","672bd5df119bfbb6db80947a","main_trial_0","0997.jpg",11,"1"
"118","672bd5df119bfbb6db80947a","main_trial_0","1101.jpg",12,"1"
"119","672bd5df119bfbb6db80947a","main_trial_1","0342.jpg",1,"0"
"120","672bd5df119bfbb6db80947a","main_trial_1","0806.jpg",2,"1"
"121","672bd5df119bfbb6db80947a","main_trial_1","0153.jpg",3,"0"
"122","672bd5df119bfbb6db80947a","main_trial_1","0924.jpg",4,"1"
"123","672bd5df119bfbb6db80947a","main_trial_1","1012.jpg",5,"0"
"124","672bd5df119bfbb6db80947a","main_trial_1","0050.jpg",6,"0"
"125","672bd5df119bfbb6db80947a","main_trial_1","0795.jpg",7,"1"
"126","672bd5df119bfbb6db80947a","main_trial_1","0170.jpg",8,"0"
"127","672bd5df119bfbb6db80947a","main_trial_1","1027.jpg",9,"1"
"128","672bd5df119bfbb6db80947a","main_trial_1","0026.jpg",10,"0"
"129","672bd5df119bfbb6db80947a","main_trial_1","0903.jpg",11,"0"
"130","672bd5df119bfbb6db80947a","main_trial_1","0236.jpg",12,"0"
"131","672bd5df119bfbb6db80947a","main_trial_2","0879.jpg",1,"0"
"132","672bd5df119bfbb6db80947a","main_trial_2","0093.jpg",2,"0"
"133","672bd5df119bfbb6db80947a","main_trial_2","0559.jpg",3,"0"
"134","672bd5df119bfbb6db80947a","main_trial_2","0350.jpg",4,"0"
"135","672bd5df119bfbb6db80947a","main_trial_2","0843.jpg",5,"1"
"136","672bd5df119bfbb6db80947a","main_trial_2","0239.jpg",6,"0"
"137","672bd5df119bfbb6db80947a","main_trial_2","0516.jpg",7,"1"
"138","672bd5df119bfbb6db80947a","main_trial_2","0560.jpg",8,"0"
"139","672bd5df119bfbb6db80947a","main_trial_2","0786.jpg",9,"0"
"140","672bd5df119bfbb6db80947a","main_trial_2","0138.jpg",10,"0"
"141","672bd5df119bfbb6db80947a","main_trial_2","0667.jpg",11,"1"
"142","672bd5df119bfbb6db80947a","main_trial_2","0481.jpg",12,"1"
"143","672bd5df119bfbb6db80947a","main_trial_3","0275.jpg",1,"0"
"144","672bd5df119bfbb6db80947a","main_trial_3","0316.jpg",2,"1"
"145","672bd5df119bfbb6db80947a","main_trial_3","0841.jpg",3,"1"
"146","672bd5df119bfbb6db80947a","main_trial_3","0087.jpg",4,"0"
"147","672bd5df119bfbb6db80947a","main_trial_3","0398.jpg",5,"0"
"148","672bd5df119bfbb6db80947a","main_trial_3","0252.jpg",6,"1"
"149","672bd5df119bfbb6db80947a","main_trial_3","0912.jpg",7,"0"
"150","672bd5df119bfbb6db80947a","main_trial_3","0798.jpg",8,"0"
"151","672bd5df119bfbb6db80947a","main_trial_3","0506.jpg",9,"0"
"152","672bd5df119bfbb6db80947a","main_trial_3","0303.jpg",10,"1"
"153","672bd5df119bfbb6db80947a","main_trial_3","0469.jpg",11,"0"
"154","672bd5df119bfbb6db80947a","main_trial_3","0407.jpg",12,"0"
"155","672bd5df119bfbb6db80947a","main_trial_4","0554.jpg",1,"0"
"156","672bd5df119bfbb6db80947a","main_trial_4","0234.jpg",3,"0"
"157","672bd5df119bfbb6db80947a","main_trial_4","0387.jpg",4,"0"
"158","672bd5df119bfbb6db80947a","main_trial_4","0107.jpg",5,"0"
"159","672bd5df119bfbb6db80947a","main_trial_4","0229.jpg",6,"0"
"160","672bd5df119bfbb6db80947a","main_trial_4","0577.jpg",7,"1"
"161","672bd5df119bfbb6db80947a","main_trial_4","0929.jpg",8,"1"
"162","672bd5df119bfbb6db80947a","main_trial_4","0319.jpg",9,"0"
"163","672bd5df119bfbb6db80947a","main_trial_4","0344.jpg",10,"1"
"164","672bd5df119bfbb6db80947a","main_trial_4","0571.jpg",11,"1"
"165","672bd5df119bfbb6db80947a","main_trial_4","0189.jpg",12,"0"
"166","672bd5df119bfbb6db80947a","main_trial_5","0763.jpg",1,"0"
"167","672bd5df119bfbb6db80947a","main_trial_5","0866.jpg",2,"1"
"168","672bd5df119bfbb6db80947a","main_trial_5","0103.jpg",3,"0"
"169","672bd5df119bfbb6db80947a","main_trial_5","0411.jpg",4,"0"
"170","672bd5df119bfbb6db80947a","main_trial_5","0328.jpg",5,"0"
"171","672bd5df119bfbb6db80947a","main_trial_5","0365.jpg",6,"0"
"172","672bd5df119bfbb6db80947a","main_trial_5","0224.jpg",7,"1"
"173","672bd5df119bfbb6db80947a","main_trial_5","0921.jpg",8,"1"
"174","672bd5df119bfbb6db80947a","main_trial_5","0031.jpg",9,"0"
"175","672bd5df119bfbb6db80947a","main_trial_5","0830.jpg",10,"1"
"176","672bd5df119bfbb6db80947a","main_trial_5","0859.jpg",11,"0"
"177","672bd5df119bfbb6db80947a","main_trial_5","0010.jpg",12,"0"
"178","672bd5df119bfbb6db80947a","main_trial_6","0747.jpg",1,"1"
"179","672bd5df119bfbb6db80947a","main_trial_6","0004.jpg",2,"0"
"180","672bd5df119bfbb6db80947a","main_trial_6","0228.jpg",3,"0"
"181","672bd5df119bfbb6db80947a","main_trial_6","0847.jpg",4,"1"
"182","672bd5df119bfbb6db80947a","main_trial_6","0072.jpg",5,"0"
"183","672bd5df119bfbb6db80947a","main_trial_6","0237.jpg",7,"0"
"184","672bd5df119bfbb6db80947a","main_trial_6","0868.jpg",8,"0"
"185","672bd5df119bfbb6db80947a","main_trial_6","0905.jpg",9,"0"
"186","672bd5df119bfbb6db80947a","main_trial_6","0511.jpg",10,"1"
"187","672bd5df119bfbb6db80947a","main_trial_6","0919.jpg",11,"1"
"188","672bd5df119bfbb6db80947a","main_trial_6","0173.jpg",12,"0"
"189","672bd5df119bfbb6db80947a","main_trial_7","0634.jpg",1,"1"
"190","672bd5df119bfbb6db80947a","main_trial_7","0187.jpg",2,"0"
"191","672bd5df119bfbb6db80947a","main_trial_7","0161.jpg",3,"0"
"192","672bd5df119bfbb6db80947a","main_trial_7","0259.jpg",4,"1"
"193","672bd5df119bfbb6db80947a","main_trial_7","0753.jpg",5,"0"
"194","672bd5df119bfbb6db80947a","main_trial_7","0951.jpg",6,"0"
"195","672bd5df119bfbb6db80947a","main_trial_7","0226.jpg",7,"0"
"196","672bd5df119bfbb6db80947a","main_trial_7","0881.jpg",8,"1"
"197","672bd5df119bfbb6db80947a","main_trial_7","0325.jpg",9,"0"
"198","672bd5df119bfbb6db80947a","main_trial_7","0775.jpg",10,"0"
"199","672bd5df119bfbb6db80947a","main_trial_7","1029.jpg",11,"0"
